Estimated molecular formula	M/Z	Mlp102036	Mlp106078	Mlp123227	Mlp123531	Mlp124256	Mlp124266	Mlp124357	Mlp124466	Mlp124497	Mlp124499	Mlp124518	Mlp37347	Mlp72983	Mlp123218
C25H25O14N1	562.120227	2.448370706	2.242077385	1.509726686	0	1.36498184	1.368030424	0.625754421	0	0.501775962	0.77336607	0.897811224	1.526408208	1.37005605	0
C25H27O11N1	516.151133	-2.005992984	-0.778563399	-2.393364206	0.066913513	0.093406028	-1.31171828	-0.520012058	-0.243224596	-2.087285759	-2.090579705	-2.053784847	0.16647321	1.50573542	-2.468468974
C25H30O13	537.161363	0.602216446	-0.142524272	2.282854257	0.179062375	-0.383726189	0.227733811	0.585473582	-0.042054235	-0.005212376	0.145859505	0.841834737	-0.209960826	0.081882068	-0.268449663
C25H30O16N2	613.152255	2.732822395	0.546132328	2.018201921	0	0.594011961	0	0	0.707532733	1.774114942	2.037007544	1.902892347	1.250232934	0	2.31727629
C25H30O18	617.135936	0.101689547	0.56126528	0.069881442	-0.187028459	-0.762869521	0.012632244	0.141065291	0.079599973	0.336411338	-4.397463885	0.013898673	0.381313233	-0.25091669	-1.133738232
C25H30O18N2	645.142084	1.642064162	0	0	1.049373829	0	0	1.06976065	0	0	0	2.394685207	0	0	0
C25H32O16	587.161757	-4.005346042	-4.005346042	-4.005346042	-4.005346042	-0.831522445	-4.005346042	-4.005346042	-1.564829637	-1.378072953	-4.005346042	-4.005346042	-4.005346042	0.448624708	-3.00642914
C25H33O9N1	490.208254	0.048934696	1.157865844	-2.805961719	-1.295431853	0.927210988	-1.934424861	-0.678852159	1.111811545	1.364282861	-0.297955802	-0.033652328	-1.280169796	-2.1270876	0.133287213
C25H36O11	511.218484	0.268161819	-0.997133633	-0.333334814	0.092341433	-2.275070941	-0.247133621	-0.035035944	0.036304568	-2.275070941	-0.096400992	-0.266072782	-2.275070941	-2.275070941	-0.015822716
C25H36O17	607.187972	-2.105164763	-1.426323852	-2.105164763	-0.6611226	0.004351969	-0.895848582	0.101438053	-0.445001993	-0.424846097	-1.036315544	-1.444499635	-0.023820594	-0.142374561	-0.388615127
C25H36O6	431.243911	1.145347129	0	2.456861186	0	0	0.572616027	0	0	0	0	0	0	0	0
